ProductID,ProductName,UnitPrice,CostPrice
1,Wireless Keyboard,79.99,40.65
2,USB-C Hub 7-Port,54.99,26.26
3,Bluetooth Mouse,34.99,22.15
4,27-inch Monitor,349.99,173.94
5,Webcam HD 1080p,89.99,47.05
6,Noise-Canceling Headphones,199.99,138.21
7,Portable SSD 1TB,129.99,81.92
8,Docking Station,249.99,132.9
9,Wireless Charger Pad,29.99,19.01
10,USB Flash Drive 64GB,14.99,6.85
11,Graphics Tablet,179.99,85.02
12,Streaming Microphone,149.99,73.58
13,Smart Speaker,99.99,61.66
14,Laptop Stand Adjustable,69.99,28.89
15,Power Bank 20000mAh,49.99,33.46
16,Ethernet Adapter,24.99,16.77
17,Cable Management Kit,19.99,10.37
18,Executive Desk Oak,899.99,432.97
19,Ergonomic Office Chair,549.99,364.4
20,Standing Desk Converter,299.99,202.9
21,Filing Cabinet 3-Drawer,189.99,85.72
22,Bookshelf 5-Tier,159.99,84.28
23,Conference Table 8-Person,1299.99,892.12
24,Guest Chair Set,249.99,117.02
25,Monitor Arm Dual,119.99,53.2
26,Under Desk Drawer Unit,89.99,52.73
27,Whiteboard Mobile 48x36,279.99,142.6
28,Reception Desk Modern,749.99,488.4
29,Privacy Screen Panel,199.99,127.42
30,Ergonomic Footrest,44.99,22.02
31,Cable Tray Under Desk,34.99,18.1
32,Task Stool Adjustable,179.99,97.15
33,Corner Desk Unit,449.99,292.93
34,Storage Credenza,399.99,247.6
35,Premium Copy Paper Case,54.99,34.87
36,Ballpoint Pen Box 50,24.99,11.17
37,Sticky Notes Multipack,12.99,8.88
38,Binder Clips Assorted,8.99,6.21
39,File Folders 100-Pack,29.99,17.38
40,Legal Pads Yellow 12-Pack,18.99,12.09
41,Highlighters Set 24,14.99,6.55
42,Stapler Heavy Duty,32.99,20.99
43,Tape Dispenser Desktop,11.99,6.97
44,Paper Clips 1000-Count,6.99,3.93
45,Envelopes Business 500,39.99,26.32
46,Index Cards 1000-Pack,15.99,8.5
47,Permanent Markers 36,22.99,10.94
48,Scissors Office 3-Pack,16.99,7.32
49,Correction Tape 10-Pack,19.99,11.82
50,Rubber Bands Assorted,7.99,4.37
51,Pushpins 500-Count,9.99,4.73
52,Document Shredder,149.99,100.06
53,Label Maker Professional,79.99,52.15
54,Laptop Bag Professional,89.99,51.6
55,Desk Organizer Set,34.99,20.45
56,Mouse Pad XL Gaming,24.99,10.03
57,Screen Cleaning Kit,12.99,8.11
58,Wrist Rest Keyboard,19.99,8.83
59,Document Holder Stand,27.99,13.88
60,Desk Lamp LED,59.99,29.72
61,Pen Holder Executive,22.99,10.91
62,Business Card Holder,14.99,7.61
63,Desk Clock Digital,29.99,18.35
64,Photo Frame Set Office,39.99,22.55
65,Plant Pot Desktop,17.99,8.7
66,Coaster Set Cork 6-Pack,11.99,7.45
67,Desk Mat Leather,49.99,23.57
68,Nameplate Desk Custom,34.99,14.91
69,Bookmark Set Metal,9.99,5.12
70,Magnifying Glass Desktop,24.99,12.7
71,Letter Opener Executive,19.99,12.8
72,Desk Fan USB,29.99,14.13
73,Cable Clips Adhesive 20,8.99,3.72
74,Headphone Stand Wood,39.99,21.63
75,Wireless Presenter Remote,44.99,23.41
